,_id,_type,attr
0,0.0,Female,Green Eye Shadow
1,0.0,Female,Earring
2,0.0,Female,Blonde Bob
3,1.0,Male,Smile
4,1.0,Male,Mohawk
5,2.0,Female,Wild Hair
6,3.0,Male,Wild Hair
7,3.0,Male,Nerd Glasses
8,3.0,Male,Pipe
9,4.0,Male,Big Shades
10,4.0,Male,Wild Hair
11,4.0,Male,Earring
12,4.0,Male,Goat
13,5.0,Female,Purple Eye Shadow
14,5.0,Female,Half Shaved
15,5.0,Female,Earring
16,6.0,Male,Do-rag
17,7.0,Female,Wild White Hair
18,7.0,Female,Spots
19,7.0,Female,Clown Eyes Blue
20,8.0,Male,Messy Hair
21,8.0,Male,Luxurious Beard
22,9.0,Male,Clown Nose
23,9.0,Male,Police Cap
24,9.0,Male,Big Beard
25,10.0,Female,Blue Eye Shadow
26,10.0,Female,Mohawk
27,11.0,Female,Black Lipstick
28,11.0,Female,Clown Eyes Green
29,11.0,Female,Straight Hair Dark
30,12.0,Female,Blonde Short
31,12.0,Female,Purple Lipstick
32,13.0,Female,Big Shades
33,13.0,Female,Black Lipstick
34,13.0,Female,Straight Hair Blonde
35,14.0,Female,Pipe
36,14.0,Female,Pilot Helmet
37,14.0,Female,Hot Lipstick
38,15.0,Male,Luxurious Beard
39,15.0,Male,Wild Hair
40,15.0,Male,Regular Shades
41,16.0,Male,Stringy Hair
42,16.0,Male,Earring
43,16.0,Male,Small Shades
44,17.0,Male,Frown
45,17.0,Male,Mohawk
46,18.0,Male,Eye Mask
47,18.0,Male,Muttonchops
48,19.0,Female,Bandana
49,19.0,Female,Horned Rim Glasses
50,19.0,Female,Hot Lipstick
51,20.0,Male,Crazy Hair
52,21.0,Male,Messy Hair
53,21.0,Male,Classic Shades
54,21.0,Male,Earring
55,22.0,Female,Pilot Helmet
56,22.0,Female,Purple Lipstick
57,23.0,Male,Handlebars
58,23.0,Male,Earring
59,23.0,Male,Do-rag
60,24.0,Male,Smile
61,24.0,Male,Mohawk Dark
62,25.0,Female,Wild White Hair
63,26.0,Female,Dark Hair
64,27.0,Male,Peak Spike
65,27.0,Male,Earring
66,28.0,Male,Big Shades
67,28.0,Male,Crazy Hair
68,29.0,Female,Horned Rim Glasses
69,29.0,Female,Half Shaved
70,29.0,Female,Earring
71,30.0,Male,Normal Beard Black
72,30.0,Male,Cap
73,31.0,Female,Stringy Hair
74,32.0,Male,Frown
75,32.0,Male,VR
76,33.0,Male,Peak Spike
77,34.0,Female,Frumpy Hair
78,34.0,Female,Purple Lipstick
79,35.0,Male,Cigarette
80,35.0,Male,Peak Spike
81,35.0,Male,Earring
82,35.0,Male,Horned Rim Glasses
83,35.0,Male,Normal Beard
84,36.0,Female,Red Mohawk
85,37.0,Female,Cap
86,37.0,Female,Clown Eyes Blue
87,38.0,Female,Frumpy Hair
88,38.0,Female,Classic Shades
89,38.0,Female,Purple Lipstick
90,39.0,Male,Frown
91,39.0,Male,Shaved Head
92,39.0,Male,Regular Shades
93,40.0,Male,Bandana
94,40.0,Male,Chinstrap
95,40.0,Male,Smile
96,41.0,Male,Muttonchops
97,41.0,Male,Wild Hair
98,41.0,Male,Clown Eyes Green
99,42.0,Female,Wild Hair
100,42.0,Female,Cigarette
101,43.0,Female,Half Shaved
102,44.0,Male,Messy Hair
103,45.0,Male,Earring
104,45.0,Male,Mole
105,46.0,Female,Purple Lipstick
106,46.0,Female,Straight Hair Dark
107,47.0,Male,Knitted Cap
108,48.0,Male,Big Shades
109,48.0,Male,Mohawk
110,49.0,Female,Bandana
111,49.0,Female,Purple Eye Shadow
112,50.0,Male,Spots
113,50.0,Male,Fedora
114,51.0,Male,Muttonchops
115,51.0,Male,Wild Hair
116,51.0,Male,Earring
117,52.0,Male,Shadow Beard
118,52.0,Male,Earring
119,52.0,Male,Nerd Glasses
120,52.0,Male,Knitted Cap
121,53.0,Female,Big Shades
122,53.0,Female,Straight Hair
123,54.0,Male,Hoodie
124,55.0,Male,Eye Patch
125,56.0,Male,Shaved Head
126,57.0,Male,Headband
127,58.0,Male,Normal Beard Black
128,58.0,Male,Hoodie
129,59.0,Male,Muttonchops
130,59.0,Male,Cowboy Hat
131,60.0,Female,Stringy Hair
132,60.0,Female,Purple Lipstick
133,61.0,Female,Dark Hair
134,62.0,Female,Hot Lipstick
135,62.0,Female,Earring
136,62.0,Female,Mohawk Dark
137,62.0,Female,Clown Eyes Blue
138,63.0,Male,Earring
139,63.0,Male,Shaved Head
140,63.0,Male,Small Shades
141,64.0,Female,Straight Hair Blonde
142,64.0,Female,Purple Lipstick
143,65.0,Female,Eye Mask
144,65.0,Female,Headband
145,66.0,Female,Tassle Hat
146,67.0,Female,Half Shaved
147,67.0,Female,Purple Lipstick
148,67.0,Female,3D Glasses
149,68.0,Male,Nerd Glasses
150,68.0,Male,Do-rag
151,69.0,Male,Normal Beard Black
152,69.0,Male,Fedora
153,70.0,Female,Crazy Hair
154,70.0,Female,Regular Shades
155,70.0,Female,Earring
156,70.0,Female,Cigarette
157,71.0,Female,Green Eye Shadow
158,71.0,Female,Half Shaved
159,71.0,Female,Purple Lipstick
160,72.0,Male,Fedora
161,72.0,Male,Earring
162,72.0,Male,Nerd Glasses
163,72.0,Male,Normal Beard
164,73.0,Female,Black Lipstick
165,73.0,Female,Bandana
166,73.0,Female,Earring
167,74.0,Male,Shadow Beard
168,74.0,Male,Earring
169,74.0,Male,Mohawk Dark
170,75.0,Male,Shadow Beard
171,75.0,Male,Knitted Cap
172,75.0,Male,Eye Patch
173,76.0,Male,Cigarette
174,76.0,Male,Do-rag
175,77.0,Male,Stringy Hair
176,77.0,Male,Handlebars
177,78.0,Male,Handlebars
178,78.0,Male,Knitted Cap
179,78.0,Male,Eye Patch
180,79.0,Male,Normal Beard
181,79.0,Male,Mohawk Dark
182,80.0,Male,Wild Hair
183,80.0,Male,Mustache
184,81.0,Male,Headband
185,81.0,Male,Small Shades
186,82.0,Male,Headband
187,83.0,Male,Vape
188,83.0,Male,Shaved Head
189,83.0,Male,Small Shades
190,84.0,Male,Messy Hair
191,84.0,Male,Big Shades
192,84.0,Male,Earring
193,85.0,Female,Crazy Hair
194,86.0,Female,Knitted Cap
195,86.0,Female,Green Eye Shadow
196,86.0,Female,Hot Lipstick
197,86.0,Female,Earring
198,87.0,Male,Hoodie
199,87.0,Male,Earring
200,88.0,Female,Cap
201,88.0,Female,Hot Lipstick
202,89.0,Female,Choker
203,90.0,Male,Hoodie
204,90.0,Male,Eye Patch
205,91.0,Female,Clown Nose
206,91.0,Female,Straight Hair
