,_id,_type,attr
0,4102.0,Male,Peak Spike
1,4102.0,Male,Handlebars
2,4103.0,Female,Mole
3,4103.0,Female,Wild White Hair
4,4104.0,Male,Cigarette
5,4104.0,Male,Front Beard Dark
6,4104.0,Male,Mohawk Dark
7,4105.0,Female,Spots
8,4105.0,Female,Mohawk Thin
9,4105.0,Female,Hot Lipstick
10,4106.0,Female,Tassle Hat
11,4106.0,Female,Blue Eye Shadow
12,4106.0,Female,Earring
13,4107.0,Female,Red Mohawk
14,4107.0,Female,Clown Eyes Green
15,4107.0,Female,Cigarette
16,4108.0,Male,Messy Hair
17,4108.0,Male,Earring
18,4108.0,Male,Small Shades
19,4109.0,Male,Normal Beard Black
20,4109.0,Male,Purple Hair
21,4110.0,Male,Messy Hair
22,4110.0,Male,Mustache
23,4110.0,Male,Nerd Glasses
24,4111.0,Male,Goat
25,4111.0,Male,Mohawk
26,4111.0,Male,Small Shades
27,4112.0,Female,Black Lipstick
28,4112.0,Female,Pink With Hat
29,4113.0,Male,Clown Hair Green
30,4113.0,Male,Eye Patch
31,4114.0,Male,Cap Forward
32,4114.0,Male,Normal Beard
33,4115.0,Male,Cap Forward
34,4115.0,Male,Small Shades
35,4116.0,Female,Bandana
36,4116.0,Female,Hot Lipstick
37,4116.0,Female,Nerd Glasses
38,4117.0,Female,Clown Eyes Green
39,4117.0,Female,Hot Lipstick
40,4117.0,Female,Stringy Hair
41,4118.0,Female,Half Shaved
42,4118.0,Female,Purple Lipstick
43,4119.0,Male,Vape
44,4119.0,Male,Shaved Head
45,4119.0,Male,Regular Shades
46,4120.0,Female,Mohawk Thin
47,4120.0,Female,Hot Lipstick
48,4121.0,Male,Cigarette
49,4121.0,Male,Spots
50,4121.0,Male,Chinstrap
51,4121.0,Male,Silver Chain
52,4121.0,Male,Earring
53,4121.0,Male,Mohawk
54,4122.0,Female,Mole
55,4122.0,Female,Green Eye Shadow
56,4122.0,Female,Headband
57,4122.0,Female,Purple Lipstick
58,4122.0,Female,Earring
59,4123.0,Male,Chinstrap
60,4123.0,Male,Headband
61,4124.0,Male,Purple Hair
62,4124.0,Male,Eye Patch
63,4125.0,Male,VR
64,4125.0,Male,Do-rag
65,4126.0,Male,Pipe
66,4126.0,Male,Mohawk
67,4126.0,Male,Small Shades
68,4127.0,Male,Clown Nose
69,4127.0,Male,Mohawk
70,4128.0,Male,Frumpy Hair
71,4129.0,Female,Hot Lipstick
72,4129.0,Female,Wild Blonde
73,4130.0,Female,Dark Hair
74,4130.0,Female,Purple Lipstick
75,4131.0,Male,Mustache
76,4131.0,Male,Regular Shades
77,4132.0,Female,Blonde Short
78,4132.0,Female,VR
79,4133.0,Female,Green Eye Shadow
80,4133.0,Female,Wild Blonde
81,4134.0,Female,Frumpy Hair
82,4134.0,Female,Cigarette
