,id_punk,type_transaction,from,to,amount_dol,amount_ethereums,letter,date
0,4102.0,Transfer,0xbf91e1152387b8eaaa0e9ee630adde6473adf562,0xd771b0c6ab94cf16b91ff0d76bdba142f6c24c39,,,,"Jun 12, 2021"
1,4102.0,Sold ,0x033ee76d5ac6398da4d8c8955e28f71f75680ece,0xbf91e1152387b8eaaa0e9ee630adde6473adf562,"7,155",5.55,,"Feb 01, 2021"
2,4102.0,Offered,,,"7,221",5.55,,"Jan 31, 2021"
3,4102.0,Sold ,0x037e2847c769d20564502183f524f88baa06b389,0x033ee76d5ac6398da4d8c8955e28f71f75680ece,"1,031",2.90,,"Sep 26, 2020"
4,4102.0,Offered,,,"1,012",2.90,,"Sep 26, 2020"
5,4102.0,Offered,,,"1,048",2.99,,"Sep 26, 2020"
6,4102.0,(Unwrap),0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0x037e2847c769d20564502183f524f88baa06b389,,,,"Sep 26, 2020"
7,4102.0,Sold ,0x53ede7cae3eb6a7d11429fe589c0278c9acbe21a,0x037e2847c769d20564502183f524f88baa06b389,982,2.80,,"Sep 26, 2020"
8,4102.0,(Wrap),0x19384795bf01c1643f633db579458211449956ff,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,,,,"Sep 15, 2020"
9,4102.0,Transfer,0x53ede7cae3eb6a7d11429fe589c0278c9acbe21a,0x19384795bf01c1643f633db579458211449956ff,,,,"Sep 15, 2020"
10,4102.0,Offer Withdrawn,,,,,,"Jan 04, 2020"
11,4102.0,Offered,,,61,0.54,,"Jan 27, 2019"
12,4102.0,Claimed,,0x53ede7cae3eb6a7d11429fe589c0278c9acbe21a,,,,"Jun 23, 2017"
13,4103.0,Offered,,,"287,850",109,,"Feb 02, 2022"
14,4103.0,Offered,,,"315,520",129,,"Jan 27, 2022"
15,4103.0,Offered,,,"543,380",139,,"Dec 28, 2021"
16,4103.0,Offered,,,"528,259",129,,"Dec 27, 2021"
17,4103.0,Offered,,,"477,836",119,,"Dec 13, 2021"
18,4103.0,Sold ,0x8f6b1e467fbe74d7dd43d59de0558f693c736798,0x1cf2b8c64aed32bff2ae80e701681316d3212afd,"325,153",80,,"Dec 06, 2021"
19,4103.0,Bid ,0x1cf2b8c64aed32bff2ae80e701681316d3212afd,,"324,641",80,,"Dec 06, 2021"
20,4103.0,Bid ,0x2fb1a24c702fcbe3d098ef5f8c9b768f232c6445,,"271,887",67,,"Dec 06, 2021"
21,4103.0,Offered,,,"504,767",120,,"Dec 05, 2021"
22,4103.0,Offer Withdrawn,,,,,,"Nov 11, 2021"
23,4103.0,Bid Withdrawn,0x0a846cce31246cb1c30462f6007760728c427389,,"361,286",120,,"Sep 22, 2021"
24,4103.0,Bid ,0x0a846cce31246cb1c30462f6007760728c427389,,"436,470",120,,"Sep 16, 2021"
25,4103.0,Offered,,,"647,182",200,,"Aug 27, 2021"
26,4103.0,Transfer,0x1896d857c57d4161bd38ff652ebd5a360cb71e5f,0x8f6b1e467fbe74d7dd43d59de0558f693c736798,,,,"May 14, 2021"
27,4103.0,Sold ,0xa3cb30128532f43fe1c8a9f4c19422aa631307a9,0x1896d857c57d4161bd38ff652ebd5a360cb71e5f,"27,381",15,,"Feb 14, 2021"
28,4103.0,Offered,,,"9,502",15,,"Dec 27, 2020"
29,4103.0,Transfer,0x00bd9fd57c423a1b1c969823d409156d90974d77,0xa3cb30128532f43fe1c8a9f4c19422aa631307a9,,,,"Mar 07, 2018"
30,4103.0,Claimed,,0x00bd9fd57c423a1b1c969823d409156d90974d77,,,,"Jun 23, 2017"
31,4104.0,Transfer,0x7fdc01ff064216493e7c695aba46dcd4ecc376ae,0xe5545c0e1b2dcfcd7c713877ceb6f897705ed62a,,,,"May 07, 2021"
32,4104.0,Transfer,0x1e243e70eb75806ec9130bc78d5e027b8a68b97d,0x7fdc01ff064216493e7c695aba46dcd4ecc376ae,,,,"Feb 19, 2021"
33,4104.0,Sold ,0x5654967dc2c3f207b68bbd8003bc27a0a4106b56,0x1e243e70eb75806ec9130bc78d5e027b8a68b97d,"27,454",14.30,,"Feb 19, 2021"
34,4104.0,Offered,,,"27,404",14.30,,"Feb 18, 2021"
35,4104.0,Bid Withdrawn,0xf72360b729f8c44fedf76fec6ec1b62cfa6ce445,,"13,415",7,,"Feb 18, 2021"
36,4104.0,Bid ,0xf72360b729f8c44fedf76fec6ec1b62cfa6ce445,,"13,415",7,,"Feb 18, 2021"
37,4104.0,Sold ,0x19f23312627e560ea0199345782528686f1f3968,0x5654967dc2c3f207b68bbd8003bc27a0a4106b56,"22,996",12,,"Feb 18, 2021"
38,4104.0,Offered,,,"22,996",12,,"Feb 18, 2021"
39,4104.0,Claimed,,0x19f23312627e560ea0199345782528686f1f3968,,,,"Jun 23, 2017"
40,4105.0,Transfer,0x9145f156ea5e064958c981993f9b75b857d0a47c,0x95e233973efb1393037308989f42b5fbe3965d75,,,,"Dec 24, 2021"
41,4105.0,Transfer,0x20af8cccbce9013a9c0718046f49e1af9b238c08,0x9145f156ea5e064958c981993f9b75b857d0a47c,,,,"Sep 16, 2021"
42,4105.0,Sold ,0x0503ed50534614193fcd085c5de01728a4824822,0x20af8cccbce9013a9c0718046f49e1af9b238c08,"41,903",27,,"Feb 23, 2021"
43,4105.0,Offered,,,"50,779",27,,"Feb 22, 2021"
44,4105.0,Offered,,,"56,661",29,,"Feb 21, 2021"
45,4105.0,Sold ,0xa374a95b8246cc6d9c5bb660a913571be8c2d8aa,0x0503ed50534614193fcd085c5de01728a4824822,"40,053",20.50,,"Feb 21, 2021"
46,4105.0,Offered,,,"39,622",20.50,,"Feb 21, 2021"
47,4105.0,Bid Withdrawn,0xbfa319ef5529b88a0ad94dcc36d438dcafac0e52,,"1,599",1.15,,"Jan 20, 2021"
48,4105.0,Bid ,0xbfa319ef5529b88a0ad94dcc36d438dcafac0e52,,474,1.15,,"Oct 22, 2020"
49,4105.0,Bid Withdrawn,0x7f9f56587e13ace3500b6fb1e1feb8b40e310c6e,,"1,362",4,,"Oct 06, 2020"
50,4105.0,Offer Withdrawn,,,,,,"Oct 06, 2020"
51,4105.0,Bid ,0x7f9f56587e13ace3500b6fb1e1feb8b40e310c6e,,"1,398",4,,"Oct 06, 2020"
52,4105.0,Bid Withdrawn,0xb27409bc4109c3cc25a035e2f2d61e9f757e7a99,,"1,227",3.50,,"Oct 03, 2020"
53,4105.0,Bid ,0xb27409bc4109c3cc25a035e2f2d61e9f757e7a99,,"1,213",3.50,,"Oct 03, 2020"
54,4105.0,Offered,,,"2,498",7,,"Sep 30, 2020"
55,4105.0,Sold ,0x35632b6976b5b6ec3f8d700fabb7e1e0499c1bfa,0xa374a95b8246cc6d9c5bb660a913571be8c2d8aa,45,0.35,,"Dec 20, 2019"
56,4105.0,Offered,,,45,0.35,,"Dec 20, 2019"
57,4105.0,Offered,,,55,0.45,,"Dec 17, 2019"
58,4105.0,Sold ,0x00d7c902fbbcd3c9db2da80a439c94486c50eb81,0x35632b6976b5b6ec3f8d700fabb7e1e0499c1bfa,47,0.25,,"Sep 15, 2019"
59,4105.0,Offered,,0x35632b6976b5b6ec3f8d700fabb7e1e0499c1bfa,47,0.25,,"Sep 15, 2019"
60,4105.0,Offered,,,306,1,,"Jul 07, 2019"
61,4105.0,Claimed,,0x00d7c902fbbcd3c9db2da80a439c94486c50eb81,,,,"Jun 23, 2017"
62,4106.0,Offered,,,"487,685",114.90,,"Nov 18, 2021"
63,4106.0,Bid Withdrawn,0x4397ccdde83cfdea014d4a23b7818a0af385e25d,,"390,201",85,,"Nov 14, 2021"
64,4106.0,Sold ,0x944f9f9b31f4de729b60e2c0b89de7cbdd5ac878,0x32beafcd6bffda7df6111f6ceb12884c919534fa,"407,645",88.80,,"Nov 14, 2021"
65,4106.0,Bid ,0x4397ccdde83cfdea014d4a23b7818a0af385e25d,,"394,726",85,,"Nov 14, 2021"
66,4106.0,Bid Withdrawn,0x8fea179fbb84e77e86f5fa91cbdb26c59c871d01,,"380,415",82,,"Nov 14, 2021"
67,4106.0,Offered,,,"411,962",88.80,,"Nov 14, 2021"
68,4106.0,Bid ,0x8fea179fbb84e77e86f5fa91cbdb26c59c871d01,,"380,605",82,,"Nov 13, 2021"
69,4106.0,Offered,,,"395,021",85.90,,"Nov 13, 2021"
70,4106.0,Offered,,,"420,232",87.90,,"Nov 12, 2021"
71,4106.0,Offered,,,"412,553",89.90,,"Nov 11, 2021"
72,4106.0,Bid ,0x32beafcd6bffda7df6111f6ceb12884c919534fa,,"378,305",80.10,,"Nov 10, 2021"
73,4106.0,Offered,,,"456,680",94.90,,"Nov 08, 2021"
74,4106.0,Offered,,,"471,684",99,,"Nov 08, 2021"
75,4106.0,Offered,,,"481,670",101.90,,"Nov 08, 2021"
76,4106.0,Offered,,,"478,600",103.90,,"Nov 07, 2021"
77,4106.0,Offered,,,"459,498",105,,"Nov 06, 2021"
78,4106.0,Offered,,,"480,035",107,,"Nov 06, 2021"
79,4106.0,Offered,,,"494,218",109,,"Nov 05, 2021"
80,4106.0,Offered,,,"515,281",114,,"Nov 04, 2021"
81,4106.0,Sold ,0x062c5432107e3b9ad924512209a7468b5c200fcd,0x944f9f9b31f4de729b60e2c0b89de7cbdd5ac878,"458,094",100,,"Nov 04, 2021"
82,4106.0,Offered,,,"544,802",120,,"Nov 03, 2021"
83,4106.0,Bid ,0x944f9f9b31f4de729b60e2c0b89de7cbdd5ac878,,"454,002",100,,"Nov 03, 2021"
84,4106.0,Offered,,,"589,360",130,,"Nov 03, 2021"
85,4106.0,Transfer,0xa3cb30128532f43fe1c8a9f4c19422aa631307a9,0x062c5432107e3b9ad924512209a7468b5c200fcd,,,,"Mar 14, 2021"
86,4106.0,Transfer,0x00bd9fd57c423a1b1c969823d409156d90974d77,0xa3cb30128532f43fe1c8a9f4c19422aa631307a9,,,,"Mar 07, 2018"
87,4106.0,Claimed,,0x00bd9fd57c423a1b1c969823d409156d90974d77,,,,"Jun 23, 2017"
88,4107.0,Transfer,0xe3d78ce35d90bc404a71121c4585b138bb3d419e,0xa25803ab86a327786bb59395fc0164d826b98298,,,,"Apr 25, 2021"
89,4107.0,Bid Withdrawn,0x5c57abd3548b87ef9babea37ed3abd51fad523a3,,47,0.25,,"Nov 05, 2019"
90,4107.0,Transfer,0x00d7c902fbbcd3c9db2da80a439c94486c50eb81,0xe3d78ce35d90bc404a71121c4585b138bb3d419e,,,,"Sep 14, 2019"
91,4107.0,Bid ,0x5c57abd3548b87ef9babea37ed3abd51fad523a3,,48,0.25,,"Aug 22, 2019"
92,4107.0,Offered,,,153,0.50,,"Jul 07, 2019"
93,4107.0,Claimed,,0x00d7c902fbbcd3c9db2da80a439c94486c50eb81,,,,"Jun 23, 2017"
94,4108.0,Sold ,0xd6e5710c50c2413ae33ed1fc722818a032bf569a,0x2079c29be9c8095042edb95f293b5b510203d6ce,"74,407",30.44,,"Jul 31, 2021"
