Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
0201X;2013-05-07;23.8;11:00;15.9;03:50;19.8;21;19:50;10;16:20;0;0;0;0;0
0201X;2013-05-08;22.0;13:00;16.1;06:10;19.1;18;13:30;9;12:10;0;0;0;0;0
0201X;2013-05-09;21.7;13:30;16.7;05:10;19.2;16;13:40;8;14:50;0;0;0;0;0
0201X;2013-05-10;19.9;16:40;16.2;22:40;18.1;27;12:20;13;12:20;0.4;0;0.4;0;0
0201X;2013-05-11;20.4;14:30;15.0;06:00;17.7;28;12:30;14;12:00;0.6;0;0.6;0;0
0201X;2013-05-12;19.6;12:00;15.7;06:10;17.7;21;16:50;9;11:30;0;0;0;0;0
0201X;2013-05-13;20.9;17:00;14.5;06:00;17.7;31;18:40;17;18:20;0;0;0;0;0
0201X;2013-05-14;19.3;10:40;14.8;06:20;17;22;11:40;11;11:40;0.4;0;0;0;0.4
0201X;2013-05-15;19.8;15:00;13.2;23:40;16.5;37;17:40;14;17:50;19.2;0;0;0.4;18.8
0201X;2013-05-16;15.8;18:00;10.8;08:20;13.3;30;23:00;15;23:20;4.4;0.8;1.2;0;2.4
0201X;2013-05-17;19.0;15:10;10.4;06:40;14.7;33;16:20;15;16:20;1.4;1.4;0;0;0
0201X;2013-05-18;18.9;15:20;13.2;08:40;16;46;16:20;23;16:30;3.2;1;2.2;0;0
0201X;2013-05-19;;;;;;;;;;;0;0;;
0201X;2013-05-20;17.3;14:50;11.4;07:00;14.3;22;14:20;10;15:00;4.6;1.4;3.2;0;0
0201X;2013-05-21;18.9;14:40;11.6;05:50;15.3;26;17:20;13;15:30;0;0;0;0;0
0201X;2013-05-22;26.4;14:10;14.4;06:40;20.4;27;15:00;15;14:50;0;0;0;0;0
0201X;2013-05-23;23.1;17:20;14.8;07:00;19;50;17:50;24;18:00;0;0;0;0;0
0201X;2013-05-24;18.2;11:20;12.7;07:00;15.5;39;15:00;21;15:00;0;0;0;0;0
0201X;2013-05-25;18.2;17:10;11.2;07:00;14.7;31;04:30;15;04:30;0;0;0;0;0
0201X;2013-05-26;19.5;14:40;12.9;04:20;16.2;35;18:00;19;17:50;0;0;0;0;0
0201X;2013-05-27;19.8;15:40;14.5;04:00;17.1;22;13:50;12;13:50;0;0;0;0;0
0201X;2013-05-28;;;;;;;;;;;0;0;0;
