Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
ACCIONA,"153,6000","-1,22","155,7000","153,3000",8.967,"1.384,15",18/01/2022,10:10:18
ACERINOX,"12,5150","-1,11","12,6600","12,4650",258.352,"3.248,71",18/01/2022,10:10:46
ACS,"23,7400","-1,37","23,9800","23,7200",82.708,"1.970,65",18/01/2022,10:09:12
AENA,"144,9000","-1,56","146,8500","144,9000",8.800,"1.283,51",18/01/2022,10:10:35
ALMIRALL,"10,6700","-0,28","10,7200","10,6100",69.459,"739,98",18/01/2022,10:08:58
AMADEUS,"62,5000","-2,07","63,7600","62,4600",71.095,"4.490,69",18/01/2022,10:11:13
ARCELORMIT.,"31,6900","-1,80","32,1450","31,5800",151.916,"4.840,88",18/01/2022,10:11:16
B.SANTANDER,"3,1545","-0,06","3,1565","3,1350",3.966.775,"12.479,45",18/01/2022,10:11:27
BA.SABADELL,"0,6870","-0,58","0,6906","0,6838",2.783.958,"1.913,06",18/01/2022,10:10:56
BANKINTER,"5,2420","1,35","5,2640","5,1360",1.181.023,"6.169,34",18/01/2022,10:11:02
BBVA,"5,7800","-0,02","5,7810","5,7300",1.834.383,"10.564,34",18/01/2022,10:11:10
CAIXABANK,"2,8810","-1,00","2,9120","2,8720",2.889.616,"8.352,43",18/01/2022,10:11:13
CELLNEX,"42,0000","-0,40","42,2600","41,9200",194.713,"8.186,84",18/01/2022,10:11:26
CIE AUTOMOT.,"27,6200","-0,93","27,7600","27,4400",28.606,"788,61",18/01/2022,10:08:38
ENAGAS,"19,9450","-0,67","19,9750","19,8400",96.234,"1.915,77",18/01/2022,10:10:20
ENDESA,"19,4100","-0,08","19,4400","19,3450",76.134,"1.476,01",18/01/2022,10:10:03
FERROVIAL,"26,4400","-0,86","26,6500","26,4100",25.004,"663,08",18/01/2022,10:10:26
FLUIDRA,"29,6000","-3,11","30,3000","29,4000",136.529,"4.060,88",18/01/2022,10:11:28
GRIFOLS CL.A,"16,6900","0,39","16,7550","16,5500",163.869,"2.725,81",18/01/2022,10:11:12
IAG,"1,9490","-1,89","1,9870","1,9475",3.055.853,"6.011,94",18/01/2022,10:11:27
IBERDROLA,"9,9740","-0,71","10,0200","9,9500",774.972,"7.736,79",18/01/2022,10:11:27
INDITEX,"27,7400","-0,61","27,9100","27,7300",166.485,"4.626,52",18/01/2022,10:11:03
INDRA A,"9,4600","-1,20","9,5150","9,4350",138.758,"1.314,02",18/01/2022,10:10:04
INM.COLONIAL,"8,2000","-0,73","8,2500","8,1800",76.634,"629,31",18/01/2022,10:09:59
MAPFRE,"1,9240","1,26","1,9240","1,8870",687.155,"1.312,44",18/01/2022,10:10:00
MELIA HOTELS,"6,4580","-1,04","6,4980","6,4460",116.591,"754,35",18/01/2022,10:10:55
MERLIN,"10,0500","-0,30","10,1200","10,0250",38.028,"382,41",18/01/2022,10:05:37
NATURGY,"29,5800","-1,07","29,8700","29,5400",43.130,"1.278,71",18/01/2022,10:11:23
PHARMA MAR,"55,4600","-0,96","56,6600","55,2000",8.951,"498,56",18/01/2022,10:09:02
R.E.C.,"17,8150","0,37","17,8150","17,7300",27.005,"479,62",18/01/2022,10:08:11
REPSOL,"11,1580","0,13","11,2900","11,1560",7.717.812,"86.844,91",18/01/2022,10:11:26
ROVI,"66,2000","-1,19","67,0000","65,6000",17.418,"1.150,17",18/01/2022,10:08:02
SIEMENS GAME,"18,4500","-2,89","18,9500","18,4400",221.974,"4.133,13",18/01/2022,10:11:29
SOLARIA,"15,4850","-1,15","15,7050","15,4300",212.756,"3.311,00",18/01/2022,10:11:18
TELEFONICA,"4,0140","0,22","4,0305","3,9855",1.189.258,"4.765,96",18/01/2022,10:11:14
